Date,Original_ER,Reconstructed_Actual,Reconstructed_Predicted
2015-05-01,3.5983809403010776,3.5983809403010776,3.609234241080136
2015-06-01,3.730368159034036,3.730368159034036,3.6989637151076593
2015-07-01,3.7986565258191978,3.7986565258191978,3.788141609448442
2015-08-01,4.047438121977306,4.047438121977306,3.975296890464115
2015-09-01,4.301686416972768,4.3016864169727675,4.23541175801552
2015-10-01,4.2364091222936455,4.2364091222936455,4.251622103269647
2015-11-01,4.294580913725353,4.294580913725353,4.288450398398342
2015-12-01,4.275265237559443,4.275265237559443,4.291285052712814
2016-01-01,4.333780947185698,4.333780947185698,4.316625615355435
2016-02-01,4.16338096346174,4.163380963461741,4.227311280118607
2016-03-01,4.045800001724906,4.045800001724906,4.077759276952229
2016-04-01,3.888133321489607,3.888133321489607,3.9374973797270196
2016-05-01,4.040404558181763,4.040404558181763,3.9968153217507116
2016-06-01,4.060268196192655,4.060268196192656,4.060556322336233
2016-07-01,4.005223773774647,4.005223773774647,4.021052347173158
2016-08-01,4.021360926006151,4.021360926006151,4.0132736121592405
2016-09-01,4.105904535813765,4.105904535813765,4.091859322157777
2016-10-01,4.171314262208485,4.171314262208485,4.161451240987122
2016-11-01,4.338659113103693,4.338659113103693,4.304677937038271
2016-12-01,4.456063639033925,4.456063639033925,4.434049793309155
2017-01-01,4.454604539004239,4.454604539004239,4.452814451441718
2017-02-01,4.440529990196228,4.440529990196228,4.443213585669991
2017-03-01,4.435021752896517,4.435021752896517,4.429614702860472
2017-04-01,4.402674961090088,4.402674961090088,4.409485282712841
2017-05-01,4.314360908840014,4.314360908840014,4.336193627769142
2017-06-01,4.275163607163862,4.275163607163862,4.283164797281233
2017-07-01,4.287228538876488,4.287228538876488,4.287978602974506
2017-08-01,4.281021760857624,4.281021760857624,4.283686227865749
2017-09-01,4.211119038718088,4.211119038718088,4.229107199270627
2017-10-01,4.22634092244235,4.22634092244235,4.223745302337632
2017-11-01,4.164768175645308,4.164768175645308,4.198740147353449
2017-12-01,4.075628553118024,4.075628553118024,4.095919561810344
2018-01-01,3.955613022265227,3.9556130222652266,3.9772418850003515
2018-02-01,3.909560000896454,3.9095600008964544,3.9199875397339414
2018-03-01,3.900304545055736,3.9003045450557354,3.9027252473421457
2018-04-01,3.8824237982432046,3.882423798243205,3.8855811313056363
2018-05-01,3.9627782365550166,3.9627782365550166,3.931872670237592
2018-06-01,3.993538118544079,3.9935381185440795,3.9901474186039367
2018-07-01,4.045445442199707,4.045445442199707,4.04262625015529
2018-08-01,4.088708753171175,4.088708753171175,4.082727024253881
2018-09-01,4.136410021781922,4.136410021781922,4.125378785828324
2018-10-01,4.15511299216229,4.15511299216229,4.154963941341816
2018-11-01,4.180768164721402,4.180768164721402,4.1802119059993945
2018-12-01,4.171547639937628,4.171547639937628,4.177555233740373
2019-01-01,4.1149522117946455,4.1149522117946455,4.121262354960205
2019-02-01,4.075430059432984,4.075430059432984,4.08398608103106
2019-03-01,4.0752285321553545,4.0752285321553545,4.077615445768263
2019-04-01,4.112304600802335,4.112304600802335,4.107590973212846
2019-05-01,4.164086363532326,4.164086363532326,4.157635222665814
2019-06-01,4.156560015678406,4.156560015678406,4.161213985464216
2019-07-01,4.120152141736901,4.120152141736901,4.125165892090789
2019-08-01,4.182181791825728,4.182181791825728,4.170702886059862
2019-09-01,4.181990441821871,4.181990441821871,4.189099262449999
2019-10-01,4.184556525686513,4.184556525686513,4.190977616960318
2019-11-01,4.155824947357178,4.155824947357178,4.160406740298244
2019-12-01,4.147995406931097,4.147995406931097,4.1525032069442585
2020-01-01,4.076495626698369,4.076495626698369,4.087996577854267
2020-02-01,4.154589986801147,4.154589986801147,4.133774535418275
2020-03-01,4.292463627728549,4.292463627728549,4.271179421996185
2020-04-01,4.348963672464544,4.348963672464544,4.3341220682527695
2020-05-01,4.334261939639137,4.334261939639137,4.3399810247916575
2020-06-01,4.27504545992071,4.27504545992071,4.289443873922742
2020-07-01,4.263086982395338,4.263086982395338,4.2619131705570075
2020-08-01,4.186785697937012,4.186785697937012,4.224926043931726
2020-09-01,4.147022724151611,4.147022724151611,4.156517429103817
2020-10-01,4.150136319073764,4.150136319073764,4.144935281477493
2020-11-01,4.112357116880871,4.112357116880871,4.118669424914071
2020-12-01,4.055500030517578,4.055500030517578,4.067563483169444
2021-01-01,4.034500008537656,4.0345000085376554,4.0438027611155976
2021-02-01,4.042825055122376,4.042825055122376,4.035616887157208
2021-03-01,4.104195656983749,4.104195656983749,4.081060742440389
2021-04-01,4.122149987654253,4.122149987654253,4.1135059359077095
2021-05-01,4.124261969611759,4.124261969611759,4.1218506808548305
2021-06-01,4.130909096110951,4.130909096110951,4.127777324077761
2021-07-01,4.196363644166426,4.196363644166425,4.165789085786012
2021-08-01,4.219581820748069,4.219581820748069,4.2196436138233215
2021-09-01,4.16375452821905,4.16375452821905,4.176435938971941
