Model,RMSE,NRMSE,MAE,MAPE (%),R2,Training Time (s)
ARDL,0.05977366382843908,0.09951851783634635,0.044245331680330326,0.9825271496080548,0.9080978257482463,30872.7
SVM,0.0591510170545271,0.09848185921268973,0.04290451023028759,0.9504905545184579,0.9100024958723794,3.965057134628296
Random Forest,0.057159107026221324,0.09516548338788994,0.04554759921336398,1.0127254911460695,0.9159617687144656,550.3168263435364
XGBoost,0.05698777500555949,0.09488022885165956,0.042900981319251734,0.946950674741193,0.9164648157831714,168.48721623420715
LightGBM,0.05660399990730052,0.09424127305549403,0.045134084461942704,0.9987473812056147,0.9175861361485607,53.9665048122406
LSTM,0.05804995554195448,0.09664867712613778,0.04318517286850144,0.9532348662805508,0.9133218136399128,295.08752369880676
