Date,Original_ER,Reconstructed_Actual,Reconstructed_Predicted
2015-05-01,3.5983809403010776,3.5983809403010776,3.648346752032881
2015-06-01,3.730368159034036,3.730368159034036,3.652326819802406
2015-07-01,3.7986565258191978,3.7986565258191978,3.788524787764809
2015-08-01,4.047438121977306,4.047438121977306,3.8633168466741865
2015-09-01,4.301686416972768,4.3016864169727675,4.117950547965994
2015-10-01,4.2364091222936455,4.2364091222936455,4.286343013337343
2015-11-01,4.294580913725353,4.294580913725353,4.242356141594563
2015-12-01,4.275265237559443,4.275265237559443,4.345832078774029
2016-01-01,4.333780947185698,4.333780947185698,4.32665568722186
2016-02-01,4.16338096346174,4.163380963461741,4.313992303637268
2016-03-01,4.045800001724906,4.045800001724906,4.12259855255999
2016-04-01,3.888133321489607,3.888133321489607,4.010695701138744
2016-05-01,4.040404558181763,4.040404558181763,3.925137595437997
2016-06-01,4.060268196192655,4.060268196192656,4.068846519644723
2016-07-01,4.005223773774647,4.005223773774647,4.027132745878105
2016-08-01,4.021360926006151,4.021360926006151,3.982202486439896
2016-09-01,4.105904535813765,4.105904535813765,4.077520460133208
2016-10-01,4.171314262208485,4.171314262208485,4.136398156718317
2016-11-01,4.338659113103693,4.338659113103693,4.231430751713101
2016-12-01,4.456063639033925,4.456063639033925,4.377449044326091
2017-01-01,4.454604539004239,4.454604539004239,4.451992429521113
2017-02-01,4.440529990196228,4.440529990196228,4.423205274405722
2017-03-01,4.435021752896517,4.435021752896517,4.405950550306249
2017-04-01,4.402674961090088,4.402674961090088,4.426621206413798
2017-05-01,4.314360908840014,4.314360908840014,4.372017100040328
2017-06-01,4.275163607163862,4.275163607163862,4.28352120106604
2017-07-01,4.287228538876488,4.287228538876488,4.274946771945499
2017-08-01,4.281021760857624,4.281021760857624,4.259825960541686
2017-09-01,4.211119038718088,4.211119038718088,4.258794882585963
2017-10-01,4.22634092244235,4.22634092244235,4.235411755170905
2017-11-01,4.164768175645308,4.164768175645308,4.2278307934812585
2017-12-01,4.075628553118024,4.075628553118024,4.129897368486549
2018-01-01,3.955613022265227,3.9556130222652266,4.0267289829121875
2018-02-01,3.909560000896454,3.9095600008964544,3.949332975667616
2018-03-01,3.900304545055736,3.9003045450557354,3.8988102729946474
2018-04-01,3.8824237982432046,3.882423798243205,3.905583589092922
2018-05-01,3.9627782365550166,3.9627782365550166,3.9180499937672164
2018-06-01,3.993538118544079,3.9935381185440795,4.003633147929618
2018-07-01,4.045445442199707,4.045445442199707,4.03773008969689
2018-08-01,4.088708753171175,4.088708753171175,4.042351227160969
2018-09-01,4.136410021781922,4.136410021781922,4.093260752226803
2018-10-01,4.15511299216229,4.15511299216229,4.173018090579627
2018-11-01,4.180768164721402,4.180768164721402,4.205059162329563
2018-12-01,4.171547639937628,4.171547639937628,4.234271208255431
2019-01-01,4.1149522117946455,4.1149522117946455,4.129220618113593
2019-02-01,4.075430059432984,4.075430059432984,4.079134993299155
2019-03-01,4.0752285321553545,4.0752285321553545,4.089328596982624
2019-04-01,4.112304600802335,4.112304600802335,4.112044876369298
2019-05-01,4.164086363532326,4.164086363532326,4.148537859609043
2019-06-01,4.156560015678406,4.156560015678406,4.154669561144352
2019-07-01,4.120152141736901,4.120152141736901,4.123269352455465
2019-08-01,4.182181791825728,4.182181791825728,4.156173572981119
2019-09-01,4.181990441821871,4.181990441821871,4.242585738047884
2019-10-01,4.184556525686513,4.184556525686513,4.204418723195438
2019-11-01,4.155824947357178,4.155824947357178,4.155060754192764
2019-12-01,4.147995406931097,4.147995406931097,4.16619050765836
2020-01-01,4.076495626698369,4.076495626698369,4.111398775772414
2020-02-01,4.154589986801147,4.154589986801147,4.109258375277889
2020-03-01,4.292463627728549,4.292463627728549,4.2269691585460984
2020-04-01,4.348963672464544,4.348963672464544,4.290865763503919
2020-05-01,4.334261939639137,4.334261939639137,4.344990313080913
2020-06-01,4.27504545992071,4.27504545992071,4.297971993620884
2020-07-01,4.263086982395338,4.263086982395338,4.239297159273195
2020-08-01,4.186785697937012,4.186785697937012,4.255635646964436
2020-09-01,4.147022724151611,4.147022724151611,4.194537306127797
2020-10-01,4.150136319073764,4.150136319073764,4.167120653254698
2020-11-01,4.112357116880871,4.112357116880871,4.12368829073512
2020-12-01,4.055500030517578,4.055500030517578,4.067753138109733
2021-01-01,4.034500008537656,4.0345000085376554,4.062663332273515
2021-02-01,4.042825055122376,4.042825055122376,4.036358950009584
2021-03-01,4.104195656983749,4.104195656983749,4.01887883311756
2021-04-01,4.122149987654253,4.122149987654253,4.129892701243644
2021-05-01,4.124261969611759,4.124261969611759,4.130129196998388
2021-06-01,4.130909096110951,4.130909096110951,4.139571534750261
2021-07-01,4.196363644166426,4.196363644166425,4.169334054635552
2021-08-01,4.219581820748069,4.219581820748069,4.198118754169829
2021-09-01,4.16375452821905,4.16375452821905,4.216497011172708
