Date,Original_ER,Reconstructed_Actual,Reconstructed_Predicted
2015-05-01,3.5983809403010776,3.5983809403010776,3.6320180368354147
2015-06-01,3.730368159034036,3.730368159034036,3.6583247543608524
2015-07-01,3.7986565258191978,3.7986565258191978,3.7824067187623633
2015-08-01,4.047438121977306,4.047438121977306,3.872174926415511
2015-09-01,4.301686416972768,4.3016864169727675,4.154424781360969
2015-10-01,4.2364091222936455,4.2364091222936455,4.28906950179208
2015-11-01,4.294580913725353,4.294580913725353,4.216819252709553
2015-12-01,4.275265237559443,4.275265237559443,4.344334155127158
2016-01-01,4.333780947185698,4.333780947185698,4.342827477830834
2016-02-01,4.16338096346174,4.163380963461741,4.347899021424444
2016-03-01,4.045800001724906,4.045800001724906,4.111952424190064
2016-04-01,3.888133321489607,3.888133321489607,4.0215972287738575
2016-05-01,4.040404558181763,4.040404558181763,3.935477021755012
2016-06-01,4.060268196192655,4.060268196192656,4.097438584180455
2016-07-01,4.005223773774647,4.005223773774647,4.048455286584296
2016-08-01,4.021360926006151,4.021360926006151,3.9946212131927132
2016-09-01,4.105904535813765,4.105904535813765,4.05822186244416
2016-10-01,4.171314262208485,4.171314262208485,4.138990608418289
2016-11-01,4.338659113103693,4.338659113103693,4.193457407901723
2016-12-01,4.456063639033925,4.456063639033925,4.35542531951791
2017-01-01,4.454604539004239,4.454604539004239,4.460725587947084
2017-02-01,4.440529990196228,4.440529990196228,4.425822454308644
2017-03-01,4.435021752896517,4.435021752896517,4.421670038380445
2017-04-01,4.402674961090088,4.402674961090088,4.445943378868189
2017-05-01,4.314360908840014,4.314360908840014,4.401748385339852
2017-06-01,4.275163607163862,4.275163607163862,4.307230224191782
2017-07-01,4.287228538876488,4.287228538876488,4.286738572645584
2017-08-01,4.281021760857624,4.281021760857624,4.294521632690994
2017-09-01,4.211119038718088,4.211119038718088,4.296863513981787
2017-10-01,4.22634092244235,4.22634092244235,4.212815341227735
2017-11-01,4.164768175645308,4.164768175645308,4.246307046488387
2017-12-01,4.075628553118024,4.075628553118024,4.152636453291784
2018-01-01,3.955613022265227,3.9556130222652266,4.0263138421692615
2018-02-01,3.909560000896454,3.9095600008964544,3.937495110636784
2018-03-01,3.900304545055736,3.9003045450557354,3.9263639674635495
2018-04-01,3.8824237982432046,3.882423798243205,3.920700155460509
2018-05-01,3.9627782365550166,3.9627782365550166,3.909373145514923
2018-06-01,3.993538118544079,3.9935381185440795,4.0290836006464525
2018-07-01,4.045445442199707,4.045445442199707,4.032067863675238
2018-08-01,4.088708753171175,4.088708753171175,4.0338348322001005
2018-09-01,4.136410021781922,4.136410021781922,4.090115192147068
2018-10-01,4.15511299216229,4.15511299216229,4.197511297259891
2018-11-01,4.180768164721402,4.180768164721402,4.2091537408798105
2018-12-01,4.171547639937628,4.171547639937628,4.251980597663629
2019-01-01,4.1149522117946455,4.1149522117946455,4.18317604325954
2019-02-01,4.075430059432984,4.075430059432984,4.081593186928814
2019-03-01,4.0752285321553545,4.0752285321553545,4.0958508826839966
2019-04-01,4.112304600802335,4.112304600802335,4.1102563120283655
2019-05-01,4.164086363532326,4.164086363532326,4.159421953134247
2019-06-01,4.156560015678406,4.156560015678406,4.170396754630757
2019-07-01,4.120152141736901,4.120152141736901,4.136815239510207
2019-08-01,4.182181791825728,4.182181791825728,4.182333653500052
2019-09-01,4.181990441821871,4.181990441821871,4.213682237182736
2019-10-01,4.184556525686513,4.184556525686513,4.222086943769268
2019-11-01,4.155824947357178,4.155824947357178,4.173123122488041
2019-12-01,4.147995406931097,4.147995406931097,4.164278905560567
2020-01-01,4.076495626698369,4.076495626698369,4.156710413878377
2020-02-01,4.154589986801147,4.154589986801147,4.1051749804521585
2020-03-01,4.292463627728549,4.292463627728549,4.398860974152173
2020-04-01,4.348963672464544,4.348963672464544,4.360368606697074
2020-05-01,4.334261939639137,4.334261939639137,4.313604593322194
2020-06-01,4.27504545992071,4.27504545992071,4.2489087138187305
2020-07-01,4.263086982395338,4.263086982395338,4.215619146064629
2020-08-01,4.186785697937012,4.186785697937012,4.239817954212353
2020-09-01,4.147022724151611,4.147022724151611,4.222974862807941
2020-10-01,4.150136319073764,4.150136319073764,4.170566871090176
2020-11-01,4.112357116880871,4.112357116880871,4.118760555173864
2020-12-01,4.055500030517578,4.055500030517578,4.059061643388721
2021-01-01,4.034500008537656,4.0345000085376554,4.050506851423835
2021-02-01,4.042825055122376,4.042825055122376,4.063999873715316
2021-03-01,4.104195656983749,4.104195656983749,4.033281680030647
2021-04-01,4.122149987654253,4.122149987654253,4.101210996524955
2021-05-01,4.124261969611759,4.124261969611759,4.140328067873766
2021-06-01,4.130909096110951,4.130909096110951,4.151476726938217
2021-07-01,4.196363644166426,4.196363644166425,4.169569314818197
2021-08-01,4.219581820748069,4.219581820748069,4.231675829982089
2021-09-01,4.16375452821905,4.16375452821905,4.2319586026672305
