Date,Original_ER,Reconstructed_Actual,Reconstructed_Predicted
2015-05-01,3.5983809403010776,3.5983809403010776,3.6300664253744483
2015-06-01,3.730368159034036,3.730368159034036,3.693590866568643
2015-07-01,3.7986565258191978,3.7986565258191978,3.8047232401134035
2015-08-01,4.047438121977306,4.047438121977306,3.84602864830344
2015-09-01,4.301686416972768,4.3016864169727675,4.095026749111503
2015-10-01,4.2364091222936455,4.2364091222936455,4.338859288094677
2015-11-01,4.294580913725353,4.294580913725353,4.192631534786657
2015-12-01,4.275265237559443,4.275265237559443,4.386564242297655
2016-01-01,4.333780947185698,4.333780947185698,4.282902993304971
2016-02-01,4.16338096346174,4.163380963461741,4.32854153286465
2016-03-01,4.045800001724906,4.045800001724906,4.145434891616737
2016-04-01,3.888133321489607,3.888133321489607,3.9879709741717715
2016-05-01,4.040404558181763,4.040404558181763,3.9282192746965547
2016-06-01,4.060268196192655,4.060268196192656,4.094037210760047
2016-07-01,4.005223773774647,4.005223773774647,4.012176877612433
2016-08-01,4.021360926006151,4.021360926006151,3.9366168621589606
2016-09-01,4.105904535813765,4.105904535813765,4.08918512579779
2016-10-01,4.171314262208485,4.171314262208485,4.162740953911029
2016-11-01,4.338659113103693,4.338659113103693,4.1734445087996
2016-12-01,4.456063639033925,4.456063639033925,4.334663656214242
2017-01-01,4.454604539004239,4.454604539004239,4.430088188052749
2017-02-01,4.440529990196228,4.440529990196228,4.374831356002447
2017-03-01,4.435021752896517,4.435021752896517,4.364220291592854
2017-04-01,4.402674961090088,4.402674961090088,4.426813202809357
2017-05-01,4.314360908840014,4.314360908840014,4.3459439054275295
2017-06-01,4.275163607163862,4.275163607163862,4.252493443939612
2017-07-01,4.287228538876488,4.287228538876488,4.254783434258466
2017-08-01,4.281021760857624,4.281021760857624,4.249155178792683
2017-09-01,4.211119038718088,4.211119038718088,4.262579848032461
2017-10-01,4.22634092244235,4.22634092244235,4.177675600330218
2017-11-01,4.164768175645308,4.164768175645308,4.216884423181374
2017-12-01,4.075628553118024,4.075628553118024,4.116154820895662
2018-01-01,3.955613022265227,3.9556130222652266,4.045284448767088
2018-02-01,3.909560000896454,3.9095600008964544,3.969310922998302
2018-03-01,3.900304545055736,3.9003045450557354,3.9306734437490016
2018-04-01,3.8824237982432046,3.882423798243205,3.926576502740339
2018-05-01,3.9627782365550166,3.9627782365550166,3.910538087278097
2018-06-01,3.993538118544079,3.9935381185440795,4.091773593271993
2018-07-01,4.045445442199707,4.045445442199707,4.018978790783273
2018-08-01,4.088708753171175,4.088708753171175,4.011788228793465
2018-09-01,4.136410021781922,4.136410021781922,4.0572145802382815
2018-10-01,4.15511299216229,4.15511299216229,4.223609858554232
2018-11-01,4.180768164721402,4.180768164721402,4.243372649156799
2018-12-01,4.171547639937628,4.171547639937628,4.213860839895904
2019-01-01,4.1149522117946455,4.1149522117946455,4.140087210724875
2019-02-01,4.075430059432984,4.075430059432984,4.08711517639335
2019-03-01,4.0752285321553545,4.0752285321553545,4.0932266013611684
2019-04-01,4.112304600802335,4.112304600802335,4.09742759869025
2019-05-01,4.164086363532326,4.164086363532326,4.183901012162153
2019-06-01,4.156560015678406,4.156560015678406,4.1320424069690285
2019-07-01,4.120152141736901,4.120152141736901,4.101605717594337
2019-08-01,4.182181791825728,4.182181791825728,4.17297647977367
2019-09-01,4.181990441821871,4.181990441821871,4.166765247859245
2019-10-01,4.184556525686513,4.184556525686513,4.2560399519137135
2019-11-01,4.155824947357178,4.155824947357178,4.1363032249856655
2019-12-01,4.147995406931097,4.147995406931097,4.129020983741276
2020-01-01,4.076495626698369,4.076495626698369,4.115345055625605
2020-02-01,4.154589986801147,4.154589986801147,4.118882473136222
2020-03-01,4.292463627728549,4.292463627728549,3.9476463075826076
2020-04-01,4.348963672464544,4.348963672464544,4.241023462799168
2020-05-01,4.334261939639137,4.334261939639137,4.303993751273611
2020-06-01,4.27504545992071,4.27504545992071,4.34400735192414
2020-07-01,4.263086982395338,4.263086982395338,4.192849638888064
2020-08-01,4.186785697937012,4.186785697937012,4.233619592054025
2020-09-01,4.147022724151611,4.147022724151611,4.24547077833087
2020-10-01,4.150136319073764,4.150136319073764,4.145165141423232
2020-11-01,4.112357116880871,4.112357116880871,4.104630512980324
2020-12-01,4.055500030517578,4.055500030517578,4.04529484783325
2021-01-01,4.034500008537656,4.0345000085376554,4.038154872395559
2021-02-01,4.042825055122376,4.042825055122376,4.050993006595142
2021-03-01,4.104195656983749,4.104195656983749,3.9940705693840033
2021-04-01,4.122149987654253,4.122149987654253,4.08081222302175
2021-05-01,4.124261969611759,4.124261969611759,4.120600356142766
2021-06-01,4.130909096110951,4.130909096110951,4.158525261637669
2021-07-01,4.196363644166426,4.196363644166425,4.193739589154345
2021-08-01,4.219581820748069,4.219581820748069,4.204303425388194
2021-09-01,4.16375452821905,4.16375452821905,4.221458154823862
